,HomeTeam,HAS,HDS,AAS,ADS
0,Charlton,1.0562180579216354,0.9382716049382716,1.037037037037037,1.1584327086882453
1,Chelsea,1.4991482112436116,0.9876543209876542,1.037037037037037,1.0221465076660987
2,Coventry,0.47700170357751276,1.1358024691358024,1.2839506172839505,0.7155025553662692
3,Derby,0.7836456558773424,1.1851851851851851,0.6419753086419753,0.8858603066439523
4,Leeds,1.2265758091993184,1.037037037037037,0.7901234567901233,1.090289608177172
5,Leicester,0.9540034071550255,1.1358024691358024,0.9382716049382716,0.7836456558773424
6,Liverpool,1.362862010221465,0.6913580246913579,0.4938271604938271,1.3969335604770017
7,Sunderland,0.817717206132879,0.7901234567901233,0.8888888888888887,0.8517887563884157
8,Tottenham,1.0562180579216354,0.7901234567901233,1.2839506172839505,0.9199318568994889
9,Man United,1.6695059625212947,0.5925925925925926,0.8888888888888887,1.1243611584327087
10,Arsenal,1.533219761499148,0.6419753086419753,1.5308641975308641,0.8517887563884157
11,Bradford,0.6814310051107325,1.4320987654320987,1.1851851851851851,0.8517887563884157
12,Ipswich,1.0562180579216354,0.7407407407407407,1.4814814814814814,0.6473594548551959
13,Middlesbrough,0.6132879045996592,1.1358024691358024,0.7901234567901233,1.2947189097103917
14,Everton,0.9880749574105622,1.3333333333333333,0.9382716049382716,1.2947189097103917
15,Man City,0.6814310051107325,1.5308641975308641,1.0864197530864197,0.8517887563884157
16,Newcastle,0.8858603066439523,0.8395061728395061,0.6913580246913579,1.192504258943782
17,Southampton,0.9199318568994889,1.0864197530864197,1.0864197530864197,1.362862010221465
18,West Ham,0.817717206132879,0.9876543209876542,0.5432098765432098,0.9540034071550255
28,Aston Villa,0.9199318568994889,0.9876543209876542,1.1851851851851851,0.8517887563884157
